"Date","Package","Title","Packages-VM","Packages-MC","Packages-R","Data","Sport","Gender","Category","Statistical_methodology","Metodhology_type","Tutorial","Creation_date","version_first","Date_last","Version_last","R_journal","JQAS","Citation","Category","Creator's Country","Creator's gender","year_creation","year_updated"
2020-11-29,"shorts","Short Sprints","Yes","Yes","Yes","Yes","Running","Both","NS","Yes","Modeling/prediction","Yes",2020-04-23,"0.0.1",2020-11-29,"1.1.4","No","No","Mladen Jovanovic (2020). shorts: Short Sprints. R package version 1.1.4. url:

  https://CRAN.R-project.org/package=shorts. doi: 10.5281/zenodo.3751836","Sports performance analysis","Serbia","Male",2020,2020
2020-11-23,"comperes","Manage Competition Results","Yes","No","Yes","Yes","Basketball","Male","Both","Yes","Descriptive/classification","Yes",2018-05-11,"0.2.0",2020-11-23,"0.2.5","No","No","Evgeni Chasnovski (2020). comperes: Manage Competition Results. R package version

  0.2.5. https://CRAN.R-project.org/package=comperes","Sports performance analysis","Ukraine","Male",2018,2020
2020-11-19,"matuR","Athlete Maturation and Biobanding","No","Yes","Yes","Yes","Athletics","Both","NS","Yes","Preprocessing/visualization","No",2020-11-19,"0.0.1.0",2020-11-19,"0.0.1.0","No","No","Jose Fernandez (2020). matuR: Athlete Maturation and Biobanding. R package version

  0.0.1.0. https://CRAN.R-project.org/package=matuR","Movement integration","Saudi Arabia","Male",2020,2020
2020-10-14,"qqr","Data from Brazilian Soccer Championship","Yes","Yes","Yes","Yes","Football","Male","Professional","No","Scraping","No",2020-10-14,"0.0.1",2020-10-14,"0.0.1","No","No","Jeferson Andrade, Joao Melo, Maisa Andrade and Andre Kalinovski (2020). qqr: Data

  from Brazilian Soccer Championship. R package version 0.0.1.

  https://CRAN.R-project.org/package=qqr","Sports performance analysis","NA","Male",2020,2020
2020-10-13,"gsisdecoder","High Efficient Functions to Decode NFL Player IDs","Yes","Yes","Yes","No","American Football","Male","Professional","No","Decoding","No",2020-10-13,"0.0.1",2020-10-13,"0.0.1","No","No","Sebastian Carl (2020). gsisdecoder: High Efficient Functions to Decode NFL Player

  IDs. R package version 0.0.1. https://CRAN.R-project.org/package=gsisdecoder","Sports performance analysis","Germany","Male",2020,2020
2020-09-26,"cyclestreets","Cycle Routing and Data for Cycling Advocacy","Doubt","Doubt","Yes","Yes","Cycling","Both","Amateur","No","Scraping","No",2018-05-03,"0.1.5",2020-09-26,"0.3.0","No","No","Robin Lovelace, Martin Lucas-Smith and Joey Talbot (2020). cyclestreets: Cycle

  Routing and Data for Cycling Advocacy. R package version 0.3.0.

  https://CRAN.R-project.org/package=cyclestreets","Movement integration","United Kingdom","Male",2018,2020
2020-09-14,"PhysActBedRest","Marks Periods of 'Bedrest' in Actigraph Accelerometer Data","Doubt","No","Yes","Yes","Physical activity","Both","NS","Yes","Processing/classification","No",2016-04-06,"1.0",2020-09-14,"1.1","No","No","J. Dustin Tracy, Zhiyi Xu, Sari Acra, Kong Y. Chen, Maciej S. Buchowski and Thomas

  Donnelly (2020). PhysActBedRest: Marks Periods of 'Bedrest' in Actigraph

  Accelerometer Data. R package version 1.1.

  https://CRAN.R-project.org/package=PhysActBedRest","Sports technology","United States of America","Male",2016,2020
2020-08-05,"bigchess","Read, Write, Manipulate, Explore Chess PGN Files and R API to UCI Chess Engines","Doubt","No","Yes","Yes","Chess","Both","NS","Yes","Compute/simulation","No",2018-05-11,"1.0.0",2020-08-05,"1.9.1","No","No","Wojciech Rosa (2020). bigchess: Read, Write, Manipulate, Explore Chess PGN Files

  and R API to UCI Chess Engines. R package version 1.9.1.

  https://CRAN.R-project.org/package=bigchess","Sports performance analysis","United States of America","Male",2018,2020
2020-08-05,"fivethirtyeight","Data and Code Behind the Stories and Interactives at 'FiveThirtyEight'","No","Doubt","Yes","Yes","Basketball/American Football/Baseball/Football/Tennis","Male","Professional","No","Scraping","Yes",2017-01-09,"0.1.0",2020-08-05,"0.6.1","No","No","Kim, A. Y. and Ismay, C. and Chunn, J. (2018) The fivethirtyeight R Package: 'Tame

  Data' Principles for Introductory Statistics and Data Science Courses, Technology

  Innovations in Statistics Education. 11(1)","Sports performance analysis","Poland","Male",2017,2020
2020-06-26,"BasketballAnalyzeR","Analysis and Visualization of Basketball Data","Yes","Yes","Yes","Yes","Basketball","Male","Professional","Yes","Compute/visualization","No",2020-06-26,"0.5.0",2020-06-26,"0.6.0","No","No","Marco Sandri, Paola Zuccolotto and Marica Manisera (2020). BasketballAnalyzeR:

  Analysis and Visualization of Basketball Data. R package version 0.5.0.

  https://CRAN.R-project.org/package=BasketballAnalyzeR","Sports performance analysis","Italy","Male",2020,2020
2020-06-25,"cherryblossom","Cherry Blossom Run Race Results","Yes","No","Yes","Yes","Running","Both","Professional","No","Scraping","No",2020-06-25,"0.1.0",2020-06-25,"0.1.0","No","No","Mine Çetinkaya-Rundel (2020). cherryblossom: Cherry Blossom Run Race Results. R

  package version 0.1.0. https://CRAN.R-project.org/package=cherryblossom","Sports performance analysis","United States of America","Female",2020,2020
2020-06-21,"ggsoccer","Plot Soccer Event Data","Doubt","Yes","Yes","No","Football","Both","NS","No","Visualization","No",2019-05-14,"0.1.4",2020-06-21,"0.1.6","No","No","Ben Torvaney (2020). ggsoccer: Plot Soccer Event Data. R package version 0.1.6.

  https://CRAN.R-project.org/package=ggsoccer","Sports performance analysis","United Kingdom","Male",2019,2020
2020-05-25,"nhlapi","A Minimum-Dependency 'R' Interface to the 'NHL' API","Yes","No","Yes","No","Hockey","Male","Professional","Yes","Processing","Yes",2020-05-25,"0.1.2",2021-02-20,"0.1.4","No","No","Jozef Hajnala (2021). nhlapi: A Minimum-Dependency 'R' Interface to the 'NHL' API.

  R package version 0.1.4. https://CRAN.R-project.org/package=nhlapi","Sports performance analysis","The Netherlands","Male",2020,2021
2020-05-17,"PAutilities","Streamline Physical Activity Research","Doubt","Doubt","Yes","Yes","Physical activity","Both","NS","Yes","Scraping/preprocessing","Yes",2019-03-06,"0.1.2",2020-05-17,"1.0.1","No","No","Paul R. Hibbing (2019). PAutilities: Streamline physical activity research. URL

  https://cran.r-project.org/package=PAutilities.","Movement integration","United States of America","Male",2019,2020
2020-05-15,"scuba","Diving Calculations and Decompression Models","Doubt","No","Yes","Yes","Scuba diving","Both","Amateur","Yes","Descriptive","Yes",2006-01-05,"1.1-2",2020-05-15,"1.10-0","No","No","Adrian Baddeley (2020). scuba: Diving Calculations and Decompression Models. R

  package version 1.10-0. https://CRAN.R-project.org/package=scuba","Sports performance analysis","Australia","Male",2006,2020
2020-05-03,"trackeRapp","Interface for the Analysis of Running, Cycling and Swimming Data from GPS-Enabled Tracking Devices","Doubt","Yes","Yes","Yes","Running/Cycling/Swimming","Both","Amateur","No","Scraping","No",2019-04-12,"1.0",2020-05-03,"1.1","No","No","Ioannis Kosmidis and Robin Hornak (2020). trackeRapp: Interface for the Analysis

  of Running, Cycling and Swimming Data from GPS-Enabled Tracking Devices. R package

  version 1.1. https://CRAN.R-project.org/package=trackeRapp","Sports technology","United Kingdom","Male",2019,2020
2020-04-19,"bysykkel","Get City Bike Data from Norway","Doubt","Doubt","Yes","No","Cycling","Both","Amateur","No","Scraping","No",2019-03-31,"0.1.1.0",2020-04-19,"0.3.1","No","No","Iman Ghayoornia (2020). bysykkel: Get City Bike Data from Norway. R package

  version 0.3.1. https://CRAN.R-project.org/package=bysykkel","Movement integration","Norway","Male",2019,2020
2020-04-06,"Anthropometry","Statistical Methods for Anthropometric Data","No","Doubt","Yes","Yes","Injury sports medicine","Both","NS","Yes","Compute","Yes",2014-03-07,"1.0",2020-04-06,"1.14","No","No","Guillermo Vinue (2017). Anthropometry: An R Package for Analysis of Anthropometric

  Data. Journal of Statistical Software, 77(6), 1-39. doi:10.18637/jss.v077.i06","Athlete health","Spain","Male",2014,2020
2020-03-28,"cricketr","Analyze Cricketers and Cricket Teams Based on ESPN Cricinfo Statsguru","Yes","Yes","Yes","Yes","Cricket","Male","Professional","Yes","Scraping/Compute","No",2015-12-30,"0.0.11",2020-03-28,"0.0.23","No","Yes","Tinniam V Ganesh (2020). cricketr: Analyze Cricketers and Cricket Teams Based on

  ESPN Cricinfo Statsguru. R package version 0.0.23.

  https://CRAN.R-project.org/package=cricketr","Sports performance analysis","India","Male",2015,2020
2020-03-24,"eddington","Compute a Cyclist's Eddington Number","Doubt","No","Yes","Yes","Cycling","Both","NS","No","Compute/scraping","Yes",2020-03-24,"2.1.1",2020-03-24,"2.1.1","No","No","Paul Egeler (2020). eddington: Compute a Cyclist's Eddington Number. R package

  version 2.1.1. https://CRAN.R-project.org/package=eddington","Sports performance analysis","United States of America","Male",2020,2020
2020-03-03,"comperank","Ranking Methods for Competition Results","Yes","No","Yes","Yes","Billiard/basketball","Male","Professional","Yes","Compute","Yes",2018-05-30,"0.1.0",2020-03-03,"0.1.1","No","No","Evgeni Chasnovski (2020). comperank: Ranking Methods for Competition Results. R

  package version 0.1.1. https://CRAN.R-project.org/package=comperank","Sports performance analysis","Ukraine","Male",2018,2020
2020-03-01,"PlayerRatings","Dynamic Updating Methods for Player Ratings Estimation","Yes","Doubt","Yes","Yes","Australian Football/Chess/Mahjong","Both","Professional","Yes","Compute/prediction","Yes",2012-07-26,"1.0-0",2020-03-01,"1.1-0","No","No","Alec Stephenson and Jeff Sonas. (2020). PlayerRatings: Dynamic Updating Methods

  for Player Ratings Estimation. R package version 1.1-0.

  https://CRAN.R-project.org/package=PlayerRatings","Sports performance analysis","Australia","Male",2012,2020
2020-02-25,"nhlscrape","Scrapes the 'NHL' API for Statistical Analysis","Yes","No","Yes","No","Hockey","Male","Professional","No","Scraping","No",2020-01-12,"0.1.2",2020-02-25,"0.1.3","No","No","Adam Azoulay (2020). nhlscrape: Scrapes the 'NHL' API for Statistical Analysis. R

  package version 0.1.3. https://CRAN.R-project.org/package=nhlscrape","Sports performance analysis","Canada","Male",2020,2020
2020-01-22,"teamcolors","Color Palettes for Pro Sports Teams","Doubt","Yes","Yes","Yes","Basketball/Football/American Football/Hockey","Both","Professional","No","Scraping","No",2017-10-01,"0.0.1",2020-01-22,"0.0.4","No","No","Benjamin S. Baumer and Gregory J. Matthews (2020). teamcolors: Color Palettes for

  Pro Sports Teams. R package version 0.0.4.

  https://CRAN.R-project.org/package=teamcolors","Sports technology","United States of America","Male",2017,2020
